# pseudopotential: dojo03
# ecutwfc (Ry) | energy (Ry)
30.0 -2415.757568422144
40.0 -2466.488350873151
50.0 -2483.167066695633
60.0 -2487.319011089957
70.0 -2488.015074294663
80.0 -2488.079044871727
90.0 -2488.081189976175
100.0 -2488.081441707108
120.0 -2488.081372861929
150.0 -2488.082262757567
200.0 -2488.082489223111

# pseudopotential: dojo04
# ecutwfc (Ry) | energy (Ry)
30.0 -2415.663916516785
40.0 -2466.338200649322
50.0 -2483.005966378051
60.0 -2487.147100151118
70.0 -2487.838010193971
80.0 -2487.900996276547
90.0 -2487.903116596352
100.0 -2487.903368784795
120.0 -2487.903296412737
150.0 -2487.904168402827
200.0 -2487.904383105582

# pseudopotential: pd03
# ecutwfc (Ry) | energy (Ry)
30.0 -2415.757568425737
40.0 -2466.488350874933
50.0 -2483.167066695965
60.0 -2487.319011089904
70.0 -2488.015074294447
80.0 -2488.079044871532
90.0 -2488.081189976088
100.0 -2488.08144170677
120.0 -2488.081372861592
150.0 -2488.082262757391
200.0 -2488.082489222809

# pseudopotential: pd04sp
# ecutwfc (Ry) | energy (Ry)
30.0 -2415.663916516569
40.0 -2466.338200649603
50.0 -2483.0059663787
60.0 -2487.147100151895
70.0 -2487.838010195128
80.0 -2487.900996277522
90.0 -2487.903116597217
100.0 -2487.90336878573
120.0 -2487.90329641384
150.0 -2487.904168403483
200.0 -2487.904383106501

# pseudopotential: sg1510
# ecutwfc (Ry) | energy (Ry)
30.0 -2315.098769406431
40.0 -2318.276061781449
50.0 -2318.338695704727
60.0 -2318.376881736265
70.0 -2318.403803778689
80.0 -2318.417468291676
90.0 -2318.422359152482
100.0 -2318.423762612177
120.0 -2318.424146576742
150.0 -2318.424162726611
200.0 -2318.424165581134

# pseudopotential: dojo05
# ecutwfc (Ry) | energy (Ry)
30.0 -2415.663916516785
40.0 -2466.338200649322
50.0 -2483.005966378051
60.0 -2487.147100151118
70.0 -2487.838010193971
80.0 -2487.900996276547
90.0 -2487.903116596352
100.0 -2487.903368784795
120.0 -2487.903296412737
150.0 -2487.904168402827
200.0 -2487.904383105582

# pseudopotential: sg1510fr
# ecutwfc (Ry) | energy (Ry)
30.0 -2315.067740911658
40.0 -2318.251905962005
50.0 -2318.313936894229
60.0 -2318.350933500226
70.0 -2318.377038848015
80.0 -2318.390276584034
90.0 -2318.394990323797
100.0 -2318.396333126318
120.0 -2318.396696967546
150.0 -2318.396712576675
200.0 -2318.396715454327

# pseudopotential: dojo04fr
# ecutwfc (Ry) | energy (Ry)
30.0 -2415.552203524861
40.0 -2466.217617261941
50.0 -2482.882289609404
60.0 -2487.022633052855
70.0 -2487.713409825882
80.0 -2487.776383781174
90.0 -2487.778503891989
100.0 -2487.778755952259
120.0 -2487.778683560111
150.0 -2487.779555412711
200.0 -2487.779770077369

# pseudopotential: sg1512
# ecutwfc (Ry) | energy (Ry)
30.0 -2315.098884573691
40.0 -2318.27617815467
50.0 -2318.338811240899
60.0 -2318.376996042566
70.0 -2318.40391708389
80.0 -2318.417580919654
90.0 -2318.422471377571
100.0 -2318.42387462445
120.0 -2318.424258454303
150.0 -2318.424274592197
200.0 -2318.42427744247

