# pseudopotential: sg1510fr
# ecutwfc (Ry) | energy (Ry)
30.0 -845.3028859853133
40.0 -857.4550777017835
50.0 -862.3854532099828
60.0 -864.111455089123
70.0 -864.574759628733
80.0 -864.6603023583684
90.0 -864.6682467547994
100.0 -864.6689765503484
120.0 -864.6727484784863
150.0 -864.6737511919133
200.0 -864.6759810215307

# pseudopotential: sg1512
# ecutwfc (Ry) | energy (Ry)
30.0 -845.296594140138
40.0 -857.4538832147608
50.0 -862.3652403314685
60.0 -864.0734381389072
70.0 -864.5277151863479
80.0 -864.610336387154
90.0 -864.6177459723108
100.0 -864.6184899401135
120.0 -864.6222251641103
150.0 -864.6232385645238
200.0 -864.6254627139498

# pseudopotential: dojo05
# ecutwfc (Ry) | energy (Ry)
30.0 -881.189663865197
40.0 -890.3799117197027
50.0 -893.695084460325
60.0 -894.6637839435573
70.0 -894.8701041583797
80.0 -894.8980730203747
90.0 -894.900146206526
100.0 -894.9003521190346
120.0 -894.9005052585989
150.0 -894.900896717233
200.0 -894.9013490770061

# pseudopotential: pd03
# ecutwfc (Ry) | energy (Ry)
30.0 -881.3719941486011
40.0 -890.4963793981336
50.0 -893.7506100046169
60.0 -894.7101604968839
70.0 -894.9209295579668
80.0 -894.9502445987375
90.0 -894.9522855916471
100.0 -894.952457308984
120.0 -894.9530859849319
150.0 -894.9547790398071
200.0 -894.9553722666483

# pseudopotential: pd04
# ecutwfc (Ry) | energy (Ry)
30.0 -881.1896638641889
40.0 -890.3799117185762
50.0 -893.6950844591131
60.0 -894.6637839423423
70.0 -894.8701041571202
80.0 -894.8980730192287
90.0 -894.9001462053656
100.0 -894.9003521178234
120.0 -894.9005052574307
150.0 -894.900896715999
200.0 -894.9013490758265

# pseudopotential: dojo03
# ecutwfc (Ry) | energy (Ry)
30.0 -881.3719941483649
40.0 -890.4963793982738
50.0 -893.7506100050643
60.0 -894.7101604973751
70.0 -894.92092955846
80.0 -894.9502445993106
90.0 -894.952285592171
100.0 -894.9524573094776
120.0 -894.9530859854575
150.0 -894.9547790403207
200.0 -894.9553722671516

# pseudopotential: dojo04
# ecutwfc (Ry) | energy (Ry)
30.0 -881.189663865197
40.0 -890.3799117197027
50.0 -893.695084460325
60.0 -894.6637839435573
70.0 -894.8701041583797
80.0 -894.8980730203747
90.0 -894.900146206526
100.0 -894.9003521190346
120.0 -894.9005052585989
150.0 -894.900896717233
200.0 -894.9013490770061

# pseudopotential: dojo04fr
# ecutwfc (Ry) | energy (Ry)
30.0 -881.1583208638466
40.0 -890.3474024345478
50.0 -893.662084340818
60.0 -894.6306277382189
70.0 -894.8369138388044
80.0 -894.8648774817939
90.0 -894.8669501510561
100.0 -894.8671560202499
120.0 -894.8673091424109
150.0 -894.8677004536115
200.0 -894.868152706441

# pseudopotential: pd04high
# ecutwfc (Ry) | energy (Ry)
30.0 -880.4044594967307
40.0 -890.9231363139479
50.0 -895.2659040102182
60.0 -896.7862043068258
70.0 -897.1900846085348
80.0 -897.2640152994968
90.0 -897.2721078871564
100.0 -897.272561891243
120.0 -897.273063702447
150.0 -897.2737210710262
200.0 -897.2743462655417

# pseudopotential: sg1510
# ecutwfc (Ry) | energy (Ry)
30.0 -845.3030399979913
40.0 -857.459320096855
50.0 -862.3701710359209
60.0 -864.0781022556359
70.0 -864.5322456931572
80.0 -864.6148094094733
90.0 -864.6222034933704
100.0 -864.6229515248077
120.0 -864.6267053135084
150.0 -864.6277191164232
200.0 -864.6299133108165

