# pseudopotential: dojo03
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -4156.43020698418 -68268.759082
30.0 -4392.344329458642 -48095.513876
40.0 -4500.470386632447 -28407.761166
50.0 -4545.2025412937055 -13482.323104
60.0 -4561.058671090814 -4756.161821
70.0 -4565.213015206052 -1140.118691
80.0 -4566.004516572859 -97.335218
90.0 -4566.095344885339 81.857155
100.0 -4566.09976697871 96.106267
150.0 -4566.100692956506 95.823578
200.0 -4566.101185982771 97.263746

# pseudopotential: dojo04
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -4156.476761424179 -68137.226023
30.0 -4391.618891545411 -47927.73689
40.0 -4499.592277754323 -28479.207284
50.0 -4544.574265092335 -13605.354683
60.0 -4560.570522413922 -4791.055334
70.0 -4564.742980483566 -1137.83454
80.0 -4565.526994614687 -94.585156
90.0 -4565.614831047077 83.222788
100.0 -4565.618671725747 96.16019
150.0 -4565.619414704859 98.696441
200.0 -4565.619818450869 96.089615

# pseudopotential: dojo04fr
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -4155.991523881719 -68099.989992
30.0 -4391.003292725774 -47900.622941
40.0 -4498.914265684727 -28461.356611
50.0 -4543.871926966491 -13597.009463
60.0 -4559.8610001933275 -4787.595438
70.0 -4564.032157286165 -1135.978718
80.0 -4564.816113762478 -93.846074
90.0 -4564.903992181057 85.51827
100.0 -4564.907842690816 100.718754
150.0 -4564.9085825356215 99.765778
200.0 -4564.90898503547 97.975096

# pseudopotential: dojo05
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -4156.476761424179 -68137.226023
30.0 -4391.618891545411 -47927.73689
40.0 -4499.592277754323 -28479.207284
50.0 -4544.574265092335 -13605.354683
60.0 -4560.570522413922 -4791.055334
70.0 -4564.742980483566 -1137.83454
80.0 -4565.526994614687 -94.585156
90.0 -4565.614831047077 83.222788
100.0 -4565.618671725747 96.16019
150.0 -4565.619414704859 98.696441
200.0 -4565.619818450869 96.089615

# pseudopotential: pd03
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -4156.430206979573 -68268.759082
30.0 -4392.3443294555145 -48095.513876
40.0 -4500.470386634427 -28407.761168
50.0 -4545.202541302125 -13482.323106
60.0 -4561.05867109863 -4756.161821
70.0 -4565.213015212029 -1140.118691
80.0 -4566.004516579908 -97.335119
90.0 -4566.09534489289 81.857178
100.0 -4566.099766986611 96.106249
150.0 -4566.1006929635505 95.823565
200.0 -4566.101185988972 97.263735

# pseudopotential: pd04sp-high
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -4164.06707639985 -66844.911989
30.0 -4399.396052249164 -49643.029623
40.0 -4515.960355006236 -32685.721325
50.0 -4570.649462192311 -18143.859013
60.0 -4593.803883966333 -8029.672607
70.0 -4601.53571930779 -2670.103935
80.0 -4603.550681283743 -550.384483
90.0 -4603.905502142871 5.67854
100.0 -4603.941700124526 95.935529
150.0 -4603.943941960722 98.473816
200.0 -4603.944677596209 97.433614

# pseudopotential: pd04sp
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -4156.476761428686 -68137.226024
30.0 -4391.618891553927 -47927.736891
40.0 -4499.592277762251 -28479.207283
50.0 -4544.574265100107 -13605.354683
60.0 -4560.570522421945 -4791.055334
70.0 -4564.742980491962 -1137.834539
80.0 -4565.526994623777 -94.585169
90.0 -4565.614831052923 83.222622
100.0 -4565.618671736342 96.160176
150.0 -4565.6194147128035 98.696328
200.0 -4565.6198184601835 96.089572

# pseudopotential: sg1510
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -4008.237136938455 -55912.364408
30.0 -4158.572941746597 -20107.830865
40.0 -4190.067441222292 -4409.829234
50.0 -4194.43046229546 -430.826997
60.0 -4194.740785832922 64.407356
70.0 -4194.748010571495 84.322816
80.0 -4194.748158403721 87.86417
90.0 -4194.748268488966 84.154978
100.0 -4194.7483174076815 84.573915
150.0 -4194.748339577278 84.472176
200.0 -4194.748343474216 84.102276

# pseudopotential: sg1510fr
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -4007.8587413298856 -55888.43505
30.0 -4158.13798658046 -20098.381703
40.0 -4189.624181487008 -4405.101675
50.0 -4193.987532640411 -428.349099
60.0 -4194.298151797021 67.109399
70.0 -4194.305405573014 87.0722
80.0 -4194.305552997855 90.618964
90.0 -4194.305663181556 86.938553
100.0 -4194.305712134805 87.352185
150.0 -4194.3057342759475 87.243868
200.0 -4194.305738172832 86.945996

# pseudopotential: sg1512
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -4008.2372194784607 -55912.367668
30.0 -4158.573028414097 -20107.83082
40.0 -4190.067526408818 -4409.828972
50.0 -4194.43054659088 -430.827174
60.0 -4194.7408699810685 64.407049
70.0 -4194.748094713926 84.322484
80.0 -4194.748242549848 87.863821
90.0 -4194.74835263487 84.154641
100.0 -4194.748401548835 84.573578
150.0 -4194.7484237099325 84.471862
200.0 -4194.748427602371 84.101952

