# pseudopotential: dojo03
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -15820.267659845893 -13.213843
30.0 -15830.487127144692 17.753228
40.0 -15830.85782331304 19.007153
50.0 -15830.8931738335 19.159361
60.0 -15830.907386746525 19.089771
70.0 -15830.925973942532 19.101885
80.0 -15830.93148375578 19.144836

# pseudopotential: dojo04
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -15818.892429284777 -15.25119
30.0 -15829.850394632354 17.347654
40.0 -15830.237851105936 19.076966
50.0 -15830.254984187182 19.170978
60.0 -15830.261995185989 19.14057
70.0 -15830.268563739983 19.159721
80.0 -15830.270956556593 19.150471
90.0 -15830.278059665949 19.110767

# pseudopotential: dojo04fr
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -15818.21312889477 -14.995297
30.0 -15829.158547294957 17.576563
40.0 -15829.545138565547 19.30069
50.0 -15829.562286182934 19.39475
60.0 -15829.569296667127 19.364278
70.0 -15829.575885769447 19.383443
80.0 -15829.578279453395 19.374367
90.0 -15829.585373518015 19.334792

# pseudopotential: dojo05
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -15818.892429284777 -15.25119
30.0 -15829.850394632354 17.347654
40.0 -15830.237851105936 19.076966
50.0 -15830.254984187182 19.170978
60.0 -15830.261995185989 19.14057
70.0 -15830.268563739983 19.159721
80.0 -15830.270956556593 19.150471

# pseudopotential: pd03
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -15820.267659857194 -13.213843
30.0 -15830.48712715863 17.753228
40.0 -15830.857823327087 19.007153
50.0 -15830.893173847571 19.159361
60.0 -15830.907386760582 19.089771
70.0 -15830.925973956533 19.101885
80.0 -15830.931483769798 19.144836
90.0 -15830.93486436772 19.114203

# pseudopotential: pd04
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -15818.892429241418 -15.25119
30.0 -15829.850394587998 17.347654
40.0 -15830.237851061493 19.076966
50.0 -15830.254984142734 19.170978
60.0 -15830.261995141549 19.14057
70.0 -15830.268563695521 19.159721
80.0 -15830.270956512193 19.150472

# pseudopotential: pd04sp
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -223948.09888933323 -34231.230236
30.0 -245029.52237146604 -21460.652321
40.0 -253372.81573629583 -10327.767677

# pseudopotential: sg1510
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -15066.581034514538 -7.483396
30.0 -15077.794389261317 18.571531
40.0 -15078.948910904197 19.340133
50.0 -15079.421726624372 19.119592
60.0 -15079.629738059302 19.237322
70.0 -15079.710660205137 19.340683
80.0 -15079.736208898134 19.394579
90.0 -15079.743908059387 19.422737
100.0 -15079.745822403152 19.434026

# pseudopotential: sg1511
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -15065.22551715615 -8.884867
30.0 -15076.298771007876 18.97958
40.0 -15077.838129094322 18.215611
50.0 -15078.73542300422 18.264251
60.0 -15079.143457923905 19.046314
70.0 -15079.255348229364 19.370844
80.0 -15079.282683078514 19.456105
90.0 -15079.290314324839 19.484898

# pseudopotential: sg1511fr
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -15064.932762331897 -8.062297
30.0 -15075.792198921654 19.225995
40.0 -15077.323709658274 18.392306
50.0 -15078.22320146657 18.441212
60.0 -15078.632454690032 19.227054
70.0 -15078.744525506236 19.553412
80.0 -15078.771842782618 19.639119
90.0 -15078.779451182658 19.667779

# pseudopotential: sg1512
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -15065.225489802466 -8.88492
30.0 -15076.29876272467 18.97957
40.0 -15077.83812258163 18.215611
50.0 -15078.735416356942 18.264251
60.0 -15079.14345105382 19.046314
70.0 -15079.255341337204 19.370844
80.0 -15079.28267617345 19.456105

