# pseudopotential: dojo03
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -179071.36955104332 -24747.137521
30.0 -198312.64351012572 -20403.251267
40.0 -207333.2715025606 -10600.559536
50.0 -210383.68101335535 -3507.284096

# pseudopotential: dojo04
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -179111.70518112765 -24660.624971
30.0 -198266.2690621055 -20347.640731
40.0 -207297.65077990468 -10667.314865
50.0 -210370.9219636336 -3532.140419

# pseudopotential: dojo04fr
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -179087.39861056293 -24649.544481
30.0 -198232.67374168435 -20337.889949
40.0 -207260.35642303087 -10663.594615
50.0 -210332.65037909566 -3530.734707

# pseudopotential: dojo05
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -179111.70518112765 -24660.624971
30.0 -198266.2690621055 -20347.640731
40.0 -207297.65077990468 -10667.314865
50.0 -210370.9219636336 -3532.140419

# pseudopotential: pd03
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -179071.36955093674 -24747.137521
30.0 -198312.64351007692 -20403.251267
40.0 -207333.27150254534 -10600.559536
50.0 -210383.68101335413 -3507.284096

# pseudopotential: pd04
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -20765.06068337323 -50.917774
30.0 -20785.819472907693 9.132564
40.0 -20786.433357941998 12.899355
50.0 -20786.446294411657 12.94755
60.0 -20786.452682294326 12.928843
70.0 -20786.46089642571 12.933122
80.0 -20786.463437213293 12.943265
90.0 -20786.467463880865 12.919521
100.0 -20786.474197633674 12.911153

# pseudopotential: pd04d
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -179111.70518099907 -24660.624971
30.0 -198266.26906225138 -20347.640732
40.0 -207297.65078037436 -10667.314865
50.0 -210370.92196427842 -3532.140419

# pseudopotential: pd04spd-high
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -494948.8290034766 -67508.147241
30.0 -545219.285379067 -53846.885152
40.0 -570904.7496146734 -34495.772688

# pseudopotential: sg1510
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -16505.849112211967 18.278751
30.0 -16506.276099322997 19.611141
40.0 -16506.619099098603 19.211797
50.0 -16506.837442357883 19.170598
60.0 -16507.015234281753 19.023751

# pseudopotential: sg1511
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -16453.02761302407 -20.419711
30.0 -16463.671364656522 13.970396
40.0 -16463.904368742413 15.525026
50.0 -16463.907062049057 15.532983
60.0 -16463.90841080376 15.536709
70.0 -16463.908729260114 15.536922

# pseudopotential: sg1511fr
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -16452.299283350563 -19.24511
30.0 -16462.64198001833 14.35807
40.0 -16462.864911095265 15.849498
50.0 -16462.867870997725 15.855318
60.0 -16462.869392499528 15.859947
70.0 -16462.86971592328 15.860165

# pseudopotential: sg1512
# ecutwfc (Ry) | energy (Ry) | pressure (kbar) 
20.0 -16453.027569495793 -20.419818
30.0 -16463.671356933366 13.970387
40.0 -16463.904362969184 15.525026
50.0 -16463.90705633077 15.532983
60.0 -16463.908405093698 15.53671

