# pseudopotential: dojo03
# ecutwfc (Ry) | energy (Ry)
30.0 -15830.48712722191
40.0 -15830.85782337573
50.0 -15830.89317388515
60.0 -15830.90738679761
70.0 -15830.92597399313
80.0 -15830.93148380642
90.0 -15830.93486440449
100.0 -15830.94390482748

# pseudopotential: dojo04
# ecutwfc (Ry) | energy (Ry)
70.0 -15830.26856379522
80.0 -15830.27095661027
90.0 -15830.27805971794
100.0 -15830.28694323815
120.0 -15830.29194861798

# pseudopotential: dojo04fr
# ecutwfc (Ry) | energy (Ry)
200.0 -15829.63856758364

# pseudopotential: dojo05
# ecutwfc (Ry) | energy (Ry)
30.0 -15829.85039470951
40.0 -15830.23785116958
50.0 -15830.25498424351
60.0 -15830.26199524156
70.0 -15830.26856379522
80.0 -15830.27095661027

# pseudopotential: pd03
# ecutwfc (Ry) | energy (Ry)
80.0 -15830.93148382046
90.0 -15830.93486441856
100.0 -15830.9439048415
120.0 -15830.95423757211

# pseudopotential: sg1510
# ecutwfc (Ry) | energy (Ry)
90.0 -15079.74390810117
100.0 -15079.74582244512
120.0 -15079.74622522311
150.0 -15079.74634337562

# pseudopotential: sg1511fr
# ecutwfc (Ry) | energy (Ry)
40.0 -15077.32370969245
50.0 -15078.22320152143
60.0 -15078.63245474142
70.0 -15078.74452556015
80.0 -15078.77184283474
90.0 -15078.77945123346
100.0 -15078.78137460608
120.0 -15078.78281115807

# pseudopotential: sg1512
# ecutwfc (Ry) | energy (Ry)
100.0 -15079.29223573142
120.0 -15079.29367171761
150.0 -15079.2951129613

