# pseudopotential: pd04sp
# ecutwfc (Ry) | energy (Ry)
30.0 -3124.874936071383
40.0 -3200.566504928417
50.0 -3225.378481611953
60.0 -3231.453777011233
70.0 -3232.442280064573
80.0 -3232.528858398875
90.0 -3232.530695400297
100.0 -3232.531276895906
120.0 -3232.531945904713
150.0 -3232.532368715056
200.0 -3232.533036368507

# pseudopotential: sg1510
# ecutwfc (Ry) | energy (Ry)
30.0 -2952.925882319912
40.0 -2956.53022085155
50.0 -2956.634227784915
60.0 -2956.641825500894
70.0 -2956.662533915314
80.0 -2956.679285165411
90.0 -2956.687747316603
100.0 -2956.690745484413
120.0 -2956.691568036343
150.0 -2956.691838889574
200.0 -2956.692014835325

# pseudopotential: sg1510fr
# ecutwfc (Ry) | energy (Ry)
30.0 -2952.827305651402
40.0 -2956.445906389127
50.0 -2956.553278098565
60.0 -2956.559831301363
70.0 -2956.578618869945
80.0 -2956.593894637097
90.0 -2956.601529438121
100.0 -2956.604163303116
120.0 -2956.604844236019
150.0 -2956.605116438146
200.0 -2956.605300740461

# pseudopotential: dojo03
# ecutwfc (Ry) | energy (Ry)
30.0 -3125.448505911793
40.0 -3201.077454865409
50.0 -3225.732949519728
60.0 -3231.78761171492
70.0 -3232.785640790505
80.0 -3232.875182865501
90.0 -3232.877655233572
100.0 -3232.878484094291
120.0 -3232.879904920566
150.0 -3232.88065767741
200.0 -3232.881779504814

# pseudopotential: pd04
# ecutwfc (Ry) | energy (Ry)
30.0 -54.83125834121032
40.0 -54.8329341198651
50.0 -54.83362219206902
60.0 -54.83482732313475
70.0 -54.83552640943652
80.0 -54.8355891715214
90.0 -54.83560666593313
100.0 -54.83562596718127
120.0 -54.835631409279
150.0 -54.83563746845048
200.0 -54.83564000989932

# pseudopotential: sg1512
# ecutwfc (Ry) | energy (Ry)
30.0 -2952.925886096412
40.0 -2956.530224831502
50.0 -2956.634231806399
60.0 -2956.641829509305
70.0 -2956.66253789879
80.0 -2956.679289125968
90.0 -2956.687751261021
100.0 -2956.69074942
120.0 -2956.691571966713
150.0 -2956.691842821122
200.0 -2956.692018765583

# pseudopotential: dojo05
# ecutwfc (Ry) | energy (Ry)
30.0 -3124.874936087742
40.0 -3200.566504950193
50.0 -3225.378481638004
60.0 -3231.453777038615
70.0 -3232.442280092235
80.0 -3232.528858426577
90.0 -3232.530695428025
100.0 -3232.531276923622
120.0 -3232.53194593241
150.0 -3232.532368742759
200.0 -3232.533036396209

# pseudopotential: pd03
# ecutwfc (Ry) | energy (Ry)
30.0 -3125.448505930711
40.0 -3201.077454886128
50.0 -3225.732949539969
60.0 -3231.787611735112
70.0 -3232.785640810645
80.0 -3232.875182885638
90.0 -3232.877655253732
100.0 -3232.878484114429
120.0 -3232.879904940702
150.0 -3232.880657697565
200.0 -3232.881779524955

# pseudopotential: dojo04fr
# ecutwfc (Ry) | energy (Ry)
30.0 -3124.718293718247
40.0 -3200.395775791474
50.0 -3225.20280935929
60.0 -3231.276824271334
70.0 -3232.265109132115
80.0 -3232.351668383478
90.0 -3232.353505030292
100.0 -3232.354086349114
120.0 -3232.354755315651
150.0 -3232.355177974334
200.0 -3232.355845441124

# pseudopotential: dojo04
# ecutwfc (Ry) | energy (Ry)
30.0 -3124.874936087742
40.0 -3200.566504950193
50.0 -3225.378481638004
60.0 -3231.453777038615
70.0 -3232.442280092235
80.0 -3232.528858426577
90.0 -3232.530695428025
100.0 -3232.531276923622
120.0 -3232.53194593241
150.0 -3232.532368742759
200.0 -3232.533036396209

