# pseudopotential: dojo03
# ecutwfc (Ry) | energy (Ry)
30.0 -956.0211145094297
40.0 -958.7183617374162
50.0 -959.8038507961088
60.0 -960.1793230807177
70.0 -960.2612563923794
80.0 -960.2762327523978
90.0 -960.2770785905396
100.0 -960.2790069411164
120.0 -960.2850223333242
150.0 -960.2869778406762
200.0 -960.2894994997433

# pseudopotential: dojo04
# ecutwfc (Ry) | energy (Ry)
30.0 -956.1103737981961
40.0 -958.7553019283984
50.0 -959.8096498874094
60.0 -960.1691036178195
70.0 -960.2452897645418
80.0 -960.2590887423607
90.0 -960.2597664605356
100.0 -960.2604060839126
120.0 -960.2620230975177
150.0 -960.2630507960569
200.0 -960.2649450184243

# pseudopotential: dojo04fr
# ecutwfc (Ry) | energy (Ry)
30.0 -956.0777520544873
40.0 -958.7225541338502
50.0 -959.7768614781656
60.0 -960.136301356348
70.0 -960.2124847881845
80.0 -960.2262833447816
90.0 -960.2269610778732
100.0 -960.2276006733804
120.0 -960.229217632886
150.0 -960.2302453950145
200.0 -960.2321396091368

# pseudopotential: pd04
# ecutwfc (Ry) | energy (Ry)
30.0 -956.1103738180234
40.0 -958.7553019476907
50.0 -959.8096499063382
60.0 -960.1691036366096
70.0 -960.2452897832939
80.0 -960.2590887610995
90.0 -960.2597664792727
100.0 -960.2604061026502
120.0 -960.2620231162557
150.0 -960.2630508147964
200.0 -960.2649450371645

# pseudopotential: sg1510
# ecutwfc (Ry) | energy (Ry)
30.0 -925.1770161679055
40.0 -925.9539860707645
50.0 -926.0062292354097
60.0 -926.010550546866
70.0 -926.0129215785855
80.0 -926.0135592135454
90.0 -926.0136208780282
100.0 -926.013782649676
120.0 -926.0139438393819
150.0 -926.0139947534965
200.0 -926.0140378271418

# pseudopotential: dojo05
# ecutwfc (Ry) | energy (Ry)
30.0 -956.1103737981961
40.0 -958.7553019283984
50.0 -959.8096498874094
60.0 -960.1691036178195
70.0 -960.2452897645418
80.0 -960.2590887423607
90.0 -960.2597664605356
100.0 -960.2604060839126
120.0 -960.2620230975177
150.0 -960.2630507960569
200.0 -960.2649450184243

# pseudopotential: pd03
# ecutwfc (Ry) | energy (Ry)
30.0 -956.0211144983406
40.0 -958.7183617263926
50.0 -959.8038507850961
60.0 -960.179323069689
70.0 -960.2612563813374
80.0 -960.2762327413465
90.0 -960.2770785794886
100.0 -960.2790069300678
120.0 -960.2850223222838
150.0 -960.2869778296383
200.0 -960.2894994887077

# pseudopotential: sg1510fr
# ecutwfc (Ry) | energy (Ry)
30.0 -925.1282119965351
40.0 -925.9330811885162
50.0 -925.9889757244663
60.0 -925.992732254765
70.0 -925.9950781329901
80.0 -925.9958731599719
90.0 -925.9959214633119
100.0 -925.9960118276906
120.0 -925.9961182860615
150.0 -925.9961679460777
200.0 -925.9962096249224

# pseudopotential: sg1512
# ecutwfc (Ry) | energy (Ry)
30.0 -925.1753707950315
40.0 -925.9526162160316
50.0 -926.0049376747423
60.0 -926.0092789479174
70.0 -926.0116542243655
80.0 -926.0122917441148
90.0 -926.0123529183572
100.0 -926.0125149231511
120.0 -926.0126772107205
150.0 -926.0127288685948
200.0 -926.0127693299454

