# pseudopotential: sg1510
# ecutwfc (Ry) | energy (Ry)
30.0 -2542.075352812527
40.0 -2576.560952729752
50.0 -2587.667906242606
60.0 -2590.155403310119
70.0 -2590.533780242152
80.0 -2590.560981285439
90.0 -2590.56234218101
100.0 -2590.563821006958
120.0 -2590.564357957661
150.0 -2590.566840715492
200.0 -2590.566987688057

# pseudopotential: sg1510fr
# ecutwfc (Ry) | energy (Ry)
30.0 -2541.978669733415
40.0 -2576.546957843571
50.0 -2587.718649787789
60.0 -2590.233945892265
70.0 -2590.620187329565
80.0 -2590.64853049227
90.0 -2590.64987033331
100.0 -2590.651367350549
120.0 -2590.651901662719
150.0 -2590.654249167226
200.0 -2590.654385664257

# pseudopotential: dojo04
# ecutwfc (Ry) | energy (Ry)
30.0 -2617.232091720816
40.0 -2655.467074625214
50.0 -2669.549051517749
60.0 -2673.27630303331
70.0 -2673.988996158119
80.0 -2674.068306560439
90.0 -2674.070805025512
100.0 -2674.071767761827
120.0 -2674.072422047759
150.0 -2674.073638311756
200.0 -2674.075022322446

# pseudopotential: dojo04fr
# ecutwfc (Ry) | energy (Ry)
30.0 -2617.122807957574
40.0 -2655.351793412305
50.0 -2669.43116386956
60.0 -2673.157602132485
70.0 -2673.870101922387
80.0 -2673.949382063564
90.0 -2673.95187881225
100.0 -2673.952841727545
120.0 -2673.953495986582
150.0 -2673.954712275867
200.0 -2673.956096305686

# pseudopotential: pd03
# ecutwfc (Ry) | energy (Ry)
30.0 -2618.011468633278
40.0 -2655.996108006893
50.0 -2669.863075795007
60.0 -2673.551576921408
70.0 -2674.268886178274
80.0 -2674.350604005532
90.0 -2674.353479760054
100.0 -2674.354529358975
120.0 -2674.355147231559
150.0 -2674.356553843338
200.0 -2674.357669318943

# pseudopotential: pd04
# ecutwfc (Ry) | energy (Ry)
30.0 -2617.232091699937
40.0 -2655.467074606501
50.0 -2669.54905150095
60.0 -2673.276303017345
70.0 -2673.988996142428
80.0 -2674.068306544807
90.0 -2674.070805009881
100.0 -2674.071767746197
120.0 -2674.072422032129
150.0 -2674.07363829613
200.0 -2674.075022306812

# pseudopotential: dojo03
# ecutwfc (Ry) | energy (Ry)
30.0 -2618.011468628096
40.0 -2655.996108001068
50.0 -2669.863075788486
60.0 -2673.551576914514
70.0 -2674.268886171237
80.0 -2674.350603998454
90.0 -2674.353479752975
100.0 -2674.354529351897
120.0 -2674.355147224486
150.0 -2674.35655383626
200.0 -2674.357669311868

# pseudopotential: dojo05
# ecutwfc (Ry) | energy (Ry)
30.0 -2617.232091720816
40.0 -2655.467074625214
50.0 -2669.549051517749
60.0 -2673.27630303331
70.0 -2673.988996158119
80.0 -2674.068306560439
90.0 -2674.070805025512
100.0 -2674.071767761827
120.0 -2674.072422047759
150.0 -2674.073638311756
200.0 -2674.075022322446

# pseudopotential: sg1512
# ecutwfc (Ry) | energy (Ry)
30.0 -2542.08576676418
40.0 -2576.570630670786
50.0 -2587.677231088167
60.0 -2590.16458570682
70.0 -2590.542915780021
80.0 -2590.570106306621
90.0 -2590.57146783603
100.0 -2590.57294804803
120.0 -2590.573483525526
150.0 -2590.57596131371
200.0 -2590.576108624182

